,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1998M07,-0.0044323319908518575,-0.004788443867097373,-0.004529282022379105,-0.009406023179614371,-0.016034969466221852,-0.004104652941676374,-0.006627076487660446,-0.003579488707141588,-0.0037262477691249185,-0.00635872404797421
1998M08,-0.00491483927935884,-0.005643262367026624,-0.016119816922342222,-0.01386201302824066,-0.022042831091861517,-0.0042111924586886165,-0.006910739533231426,-0.003509089514181423,-0.00457171169554718,-0.00908727732116428
1998M09,-0.003703619519399731,-0.0035001882133279512,0.02835127181983637,0.0030565200880543746,0.008602427293933125,-0.004390239528768113,-0.0035622432443347795,-0.0044597055521535265,-0.003808216639771842,0.001842889611563103
1998M10,-0.004044301933368173,-0.004258633148342507,-0.02020320627472415,-0.003910499722102429,-0.005750147295871007,-0.004202632815568933,-0.005411774193993397,-0.003917040054504091,-0.004418289809034748,-0.006235169471945494
1998M11,-0.004769583309463719,-0.005901741576673563,-0.029658099442328684,-0.014128077367348401,-0.017312650572121127,-0.003993753595599899,-0.008261516008263537,-0.0032723141204844776,-0.0046153329400023145,-0.010212563214698414
1998M12,-0.0062175037189941005,-0.00785773661654145,-0.03648470032905643,-0.02166386088802478,-0.032064415296710565,-0.004681595647195472,-0.009999430578176685,-0.0037807617307284817,-0.004860274334991788,-0.014178919904491084
1999M01,-0.004459597997557715,-0.004974645079618681,0.024650400352619006,0.001373030176671371,-0.011183436297843855,-0.0050980351009132265,-0.006484106105263851,-0.005122416375170887,-0.004398142583668318,-0.0017441054456384618
1999M02,-0.004859936421200812,-0.005534125008518945,-0.022067134664953445,-0.005999918247158306,-0.008798428236945682,-0.004801759694631151,-0.008621784452230597,-0.004503600993202116,-0.004415095874856586,-0.007733531510410848
1999M03,-0.004081636106933575,-0.003940489950880858,0.037980881006132325,0.010172839918470771,0.011155703920774357,-0.005596009710470175,-0.003937083100336039,-0.006012153618913777,-0.005251843457688854,0.0033878009889060194
1999M04,-0.0027546081525445594,-0.002411906350147685,0.05128985389347458,0.029950364195703384,0.025663881468264465,-0.005088812931971395,0.002644708106120906,-0.0070040460328029425,-0.005702412492671086,0.009620780189269517
1999M05,-0.0027222741284783874,-0.002471333364273603,-0.002291015630194444,0.02855952017034287,0.0024302713981231494,-0.004968985973063415,-0.0011674601180122958,-0.006855643802648867,-0.004829908077014824,0.0006314633860866869
1999M06,-0.0019335890837785315,-0.0019691966033830383,0.008265569392789406,0.016248829401620115,0.007048260398151538,-0.003988526403516763,-5.376455877678806e-05,-0.0062837761087788605,-0.0047550766208434925,0.001397636645942621
