,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1998M07,0.00019157300152188592,-0.0030863161868076895,-5.3239279456982684e-05,-0.001095295917306519,-0.0027481510211376237,-0.0013582858806373858
1998M08,-0.003467835617876386,-0.0029112183060902275,-0.0005274888348939426,0.0001379184984040781,-0.002804250622378136,-0.0019145749765669229
1998M09,-0.0003859926870565757,-0.0028539108509129606,-0.0007442574837169075,-0.0002630391949687721,-0.0024856507239201108,-0.0013465701881150653
1998M10,0.0006142013183899126,-0.0027361157915308616,-0.0006959211752933761,0.00015584416796841482,-0.0022204761060524592,-0.000976493517303674
1998M11,-0.0011592968706293926,-0.00314438708446786,-0.0009311985160367545,-0.0006513147905073252,-0.002956180927884209,-0.0017684756379051081
1998M12,-0.0015101032127953166,-0.0032540203065892716,-0.0008677628336149338,-0.0010597151747658558,-0.002845219985219039,-0.0019073643025968832
1999M01,-0.0008926067359635995,-0.003197341988138072,-0.0007315401949677409,-0.0008646981863168257,-0.003268048886484509,-0.0017908471983741493
1999M02,0.0005852401266155117,-0.002723044215645346,-0.0008139946839820568,-0.0016015337002129645,-0.0023339452011824765,-0.0013774555348814665
1999M03,-0.0019813404541679214,-0.002870684913161891,-0.0008413945835350161,-0.001328655399654081,-0.0022305622305452692,-0.0018505275162128357
1999M04,-0.0019888497859384038,-0.0024923128348279177,-0.0008054403591573695,-0.000863357708857436,-0.002591602909152859,-0.0017483127195867972
1999M05,-0.001526968057883834,-0.0029283527023296293,-0.0006477940284121324,-0.0008564353631729146,-0.00233338247213203,-0.001658586524786108
1999M06,-0.005100069296514697,-0.0030627257337214058,-0.0007600658287830048,-0.00047836034230138943,-0.0032407677740270975,-0.002528397795069519
1999M07,-0.001843113699843155,-0.0029462888460249116,-0.0008781806909843536,-0.0004298266620600406,-0.0035874618008550907,-0.0019369743399535102
1999M08,-0.0006796144093396453,-0.003207367855338932,-0.0009009140036824418,-0.0002066310060517345,-0.0033914736771701063,-0.0016772001903165717
1999M09,0.000788813490605521,-0.003204028183290716,-0.0012368696469772177,-0.000641230911500805,-0.002859336421616962,-0.001430530334556036
1999M10,0.011329483404842959,-0.0036234971211304033,-0.0010525135695529891,-0.0028017001271658697,-0.0009632839370800318,0.0005776977299827332
1999M11,-0.004003491515764096,-0.003433851690719604,-0.001973174345820395,-0.0022933937900197618,-0.0018282892890744116,-0.002706440126279654
1999M12,-0.0024872518224964544,-0.003369370110200292,-0.001639171557829337,-0.0030504442520395882,-0.0020132654416172777,-0.00251190063683659
2000M01,-0.0004189411253421785,-0.0034004528682292515,0.000238354498797309,-0.003310863880299539,-0.0018505994538228368,-0.0017485005657792991
2000M02,0.0027699999546203355,-0.003489255636759099,-0.0010858047142421477,-0.0037254996059748937,-0.0011839715594417432,-0.0013429063123595098
2000M03,-0.0034294343742870574,-0.003393002338717513,-0.0009728476591492312,-0.002725877688621146,-0.0014756610602017326,-0.0023993646241953362
2000M04,-0.0017873890518709764,-0.0034469672614268272,-0.0006467042916249946,0.0007598002092141648,-0.0016290479870582559,-0.0013500616765533778
2000M05,-0.001647914798954906,-0.0034445622235230945,0.0004691747316908284,-0.0002859139742368655,-0.0018019429320777103,-0.0013422318394203494
2000M06,0.0012564245572191245,-0.004236458503010777,-0.0008535490315327851,-0.001500031173111115,-0.0015371490046317748,-0.0013741526310134657
2000M07,-0.0014648459483483267,-0.0042645986666705405,-0.0009955182416440018,-0.0011460312647675525,-0.0023780810396595384,-0.002049815032217992
2000M08,-0.0020995799065588066,-0.004069535959620267,-0.0009209887357421021,0.0004529858022505795,-0.0023141833151983484,-0.0017902604229737891
2000M09,-0.0008726774336193126,-0.0037644076099598877,-0.0002258353186293902,-0.0006251797943339643,-0.002160640059074603,-0.0015297480431234315
2000M10,-0.0017049749919930343,-0.002013971763432998,-0.00026554536319156055,-0.0007539320393408822,-0.002321159981291928,-0.0014119168278500806
2000M11,-0.0019214778709020005,-0.0025576521349241306,-0.0004536074387817853,-0.0007585928986480745,-0.0027766643479217425,-0.0016935989382355465
2000M12,1.8507585579375643e-05,-0.002957350887960229,-0.0006998329020873645,-0.00027529221446660366,-0.0023166972893903333,-0.0012461331416650308
2001M01,-0.0018274804314111505,-0.002776385260697326,-0.0007383308453695,-0.0002875112971786778,-0.0023727573377246795,-0.0016004930344762666
2001M02,-0.0019748660980666304,-0.0020627198909209683,-0.0008061260554676143,-0.0004880415710906713,-0.0024594054810078217,-0.001558231819310741
2001M03,-0.001299269759504658,-0.0025641344056952626,-0.0004230649373871844,-0.0004186716541093186,-0.002679277847392717,-0.001476883720817828
2001M04,-0.0015281319777181168,-0.0026933398438247417,-0.0006035822390460767,-0.0005892302586940354,-0.0026902392724924354,-0.001620904718355081
2001M05,0.0013793303271693808,-0.0031088142294571474,-0.0015567618641223282,-0.0016731994881641842,-0.002152109943475377,-0.001422311039609931
2001M06,-0.0015812935347692043,-0.0026105943901592794,-0.0014678123316047324,-0.0010939258043544129,-0.0022443200121636535,-0.0017995892146102563
2001M07,-0.0019986602363652878,-0.00262299020742465,-0.001345819078768376,-0.0011132286424452803,-0.002330741912298041,-0.0018822880154603268
2001M08,-0.0006652729678808668,-0.0029058319318658187,-0.0006058511101061252,-0.0015950221358096814,-0.002191026441388372,-0.0015926009174101728
2001M09,0.0013603218941803802,-0.00319502021107202,-0.0015045928069347563,-0.00240768448118315,-0.001909678491162959,-0.001531330819234501
2001M10,-0.0008977461863047421,-0.0033414978537926634,-0.0018562053079879829,-0.002559083796691694,-0.0018407549812593156,-0.0020990576252072797
