,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1995M06,-0.00407202797012817,-0.0032368142903960685,-0.004537272007630837,-0.004903437159266523,-0.002635361724401217,-0.0038451437959196475,-0.004621148220343098,-0.004122505883426209,-0.003996713881438971
1995M07,-0.004045374523652085,-0.003809602212236913,-0.016281184570070304,-0.016953501735098547,-0.005132107415987391,-0.0039494332266551135,-0.004596139183249525,-0.0036714270871264078,-0.0073048462442595365
1995M08,-0.004050843512756745,-0.0036209205433350806,-0.01241132295042807,-0.00623579133679673,-0.00456488292783455,-0.0039462768060902894,-0.004588060714368713,-0.0036878266841326624,-0.0053882406844678555
1995M09,-0.004072274614646349,-0.00330536375294108,-0.0007415962856579857,-0.0019001002531227346,-0.003360634992933422,-0.003835149766683253,-0.004597699173536977,-0.0037493301334434056,-0.0031952686216206506
1995M10,-0.004021774629345902,-0.0034401466705601762,-0.0009171585608529608,-0.004617348096645322,-0.004084324814708331,-0.00384469847149251,-0.00454760485719681,-0.0036393305410904967,-0.0036390483302365636
1995M11,-0.004032301072180982,-0.0030844489847509627,0.006114976997619026,-0.001008118749305337,-0.0023926654611669098,-0.003763888358559871,-0.004557352663026665,-0.0037917294863020223,-0.0020644409722092158
1995M12,-0.0037962240538522087,-0.002676997139606208,0.015146183808335543,0.006893105350460501,0.0013942692815036633,-0.0036664093994102772,-0.004381783852276972,-0.004193400866552654,0.0005898428910751732
1996M01,-0.003485193246902524,-0.0026008702256972204,0.004911551249847774,0.00813224330409521,-0.00032550949844119693,-0.0035912924849192045,-0.004093556311697502,-0.004202251449573799,-0.0006568598329110579
1996M02,-0.0027910810306002584,-0.0020958261129627527,0.014568387420232502,0.01180021662465625,0.0021113460216145284,-0.003008156498623729,-0.003492565850668896,-0.004284596411505178,0.0016009655202678086
1996M03,-0.0024462986571013997,-0.0020039597791228457,0.004715857101870387,0.0033347158202835696,0.0002545253385571285,-0.002862016165320988,-0.003164481561059628,-0.004205685475605524,-0.0007971679221874127
1996M04,-0.0022840393361984726,-0.0018269677620611885,0.005806697374904151,0.003707816968712698,0.000572464081258799,-0.0026628449302410055,-0.003015408956972835,-0.004084300102826286,-0.0004733228329280174
1996M05,-0.002722416789441709,-0.0025442358238122794,-0.008375201274483757,-0.013859083317937733,-0.002668489311721729,-0.0031166331232448156,-0.0033753270566253164,-0.00400471978523257,-0.0050832633103124894
1996M06,-0.0027485173327987784,-0.002620155694986434,-0.011663788298898553,-0.009737195741507523,-0.00337942367681361,-0.0026977055615908098,-0.00339323261009623,-0.0037003438642690444,-0.004992545347620124
1996M07,-0.002620806712881495,-0.0023762142142826825,-0.0035889030357139132,-0.001044681389437297,-0.0016226756997290478,-0.0026121962373731335,-0.003279980093009346,-0.003963564395052254,-0.0026386277221848962
1996M08,-0.002535043084847983,-0.0022137848937106262,0.00587456144511967,0.000856583352122478,-0.0010658107841510338,-0.002606565607976652,-0.003205162858556689,-0.0034531514871222555,-0.0010435467398903866
1996M09,-0.002116116187909643,-0.0016461467570814102,0.013473012336129773,0.008538679788254858,0.0012229155082782938,-0.0026457221589602353,-0.002856039805316023,-0.0028278926638262156,0.0013928362574461748
1996M10,-0.0011070202743826162,-0.0004604544817621689,0.01634301239993797,0.012336968482710958,0.0034156446242445014,-0.0024629283423969715,-0.0019541700692386876,-0.003017188020186712,0.002886733039865784
1996M11,-0.001398672546287886,-0.001061111872640442,0.00026947952694939903,0.007015182142690503,-8.648007367099129e-05,-0.0025934773006336944,-0.00218510871434459,-0.0029836463826259834,-0.0003779794025704606
1996M12,-0.0006995907606971756,-0.00021391129889156537,0.011423140437169601,0.008471381931206494,0.002636134316607644,-0.002086900963406073,-0.0015781673622577948,-0.002944810986914057,0.0018759094141021344
1997M01,-0.0010986871429006966,-0.0007173834664740625,-0.0008934445020888221,-0.0019205616388126012,-0.0001506477595233128,-0.002173441650746812,-0.0019022278039510909,-0.00304139296207476,-0.0014872233658215198
1997M02,-0.0017655385127286888,-0.0018354385918739936,-0.022011241727772152,-0.018606060764078114,-0.004890712998113134,-0.0018719145373066867,-0.002459628582686826,-0.00242289278898813,-0.0069829285629434655
1997M03,-0.0020002633819090855,-0.002316240389971719,-0.03485707749299422,-0.016932752834059046,-0.007828425859901424,-0.001630054497808861,-0.0027729607580433344,-0.0017330897293373288,-0.008758858118003126
1997M04,-0.002397389661179963,-0.0030184189243146137,-0.04042117790478693,-0.01578188970609979,-0.010690500680636658,-0.002551851105903192,-0.0033358714526356115,-0.0013996890793504537,-0.009949598564363402
1997M05,-0.0018125169958825825,-0.0021392991787163936,-0.005841548747515692,0.0021852505536079474,-0.006769742153493887,-0.0028391834847819285,-0.0024938159477722733,-0.0026929546633602582,-0.0028004763272393837
