,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
1993M06,-0.007436157887010745,0.012862137788659442,-0.007030826743664886,-0.01144312121448864,-0.007230438573378723,-0.00405568132597671
1993M07,-0.009170951398508223,0.012966863212951926,0.004651529019270363,-0.00696455226100982,-0.003421795359601655,-0.000387781357379482
1993M08,-0.009474453414264741,-0.009635170145600827,0.007155610995953521,-0.007423349275381698,-0.002696701278851016,-0.004414812623628953
1993M09,-0.010220137514122502,-0.010067631714966153,-0.0054983603863862675,-0.008169515068423089,-0.007000668113250574,-0.008191262559429719
1993M10,-0.010021351494461931,-0.010502432097128781,-0.012833513798234029,-0.008234950059024042,-0.00826343350371574,-0.009971136190512903
1993M11,-0.009697050348380854,-0.01061390964475315,-0.012945998614529594,-0.00804516895975025,-0.008608311520899524,-0.009982087817662674
1993M12,-0.0073476059763371605,0.012527128153195653,-0.00043069174926714873,-0.003335079371506613,-0.003423378271652561,-0.00040192544311356616
1994M01,-0.003931820050061704,0.012988249472573397,0.00993593955307505,-0.0006856852698018737,0.0010256014937727338,0.003866457039911521
1994M02,-0.0008306762917257432,0.013526563608612657,0.014844125474814191,0.00456739349935281,0.004469849381685187,0.0073154511345478205
1994M03,0.0008979161284563084,0.01345655513029982,0.014728204489250787,0.009220835029853353,0.004217831023756205,0.008504268360323294
1994M04,0.002374103071811651,-0.009842022974520448,0.00973476272312414,0.01285109016181896,0.0027223965453670052,0.0035680659055202617
1994M05,0.006419160513328734,0.013079502151420275,0.011499329313015744,0.017696720129644464,0.006246919886326257,0.010988326398747096
1994M06,0.008253559649971648,0.013761223608556717,0.013561318335939316,0.018771340378290965,0.01041344158381071,0.012952176711313873
1994M07,0.009326782185190554,0.014165162975206817,0.016260845823113566,0.01932681465399899,0.014019537811378071,0.014619828689777601
1994M08,0.008213879105468346,-0.008887865881964066,0.010305121498617613,0.01405438603372236,0.012432989257973297,0.00722370200276351
1994M09,0.012064285635549352,0.01362743302561506,0.0108686424667252,0.015914566320941726,0.013563556326858593,0.013207696755137988
1994M10,0.015726060627608923,0.014143283551084074,0.01180412870499679,0.018521773786951815,0.014529849873634227,0.014945019308855167
1994M11,0.01950992244713459,0.015261402617827238,0.017837417687907406,0.020387656196185898,0.016765281792922478,0.01795233614839552
1994M12,0.019501219285128317,0.015342006153088672,0.01789433371752002,0.020139638780765714,0.01696738756127878,0.0179689170995563
1995M01,0.02093952478358524,0.01598394597283246,0.018654653499028687,0.02124187850991697,0.018988081444345016,0.019161616841941675
1995M02,0.013799783225295289,-0.008071782647116447,0.00473821616649381,0.014540338792347923,0.01246294877968512,0.007493900863341138
1995M03,0.011283346943685806,-0.008362839226004632,-0.00015434184888604707,0.009964846720713495,0.009534324152522347,0.0044530673484061934
1995M04,0.011862940304807727,0.014903924890553867,-0.00860290431960265,0.008624516378753368,0.009086262219333412,0.007174947894769144
1995M05,0.008532825507349826,-0.008127101064655928,-0.007996935929778048,-0.0005511659897261753,0.007709853699087839,-8.65047555444972e-05
1995M06,0.008570977286990567,0.014183579954940666,0.00394404685375461,0.0008111822421103723,0.007653142055124134,0.00703258567858407
1995M07,0.00888723307827283,0.014463966221377307,0.007177344460584337,-0.0017128749967251344,0.007686472930000519,0.007300428338701972
1995M08,0.009896726496813094,0.014354520397908507,0.017253784975700577,0.0050450525034683585,0.005038637204410491,0.010317744315660205
1995M09,0.0058472218320164485,-0.007605476957869805,0.0010642296773039524,0.002223326842319441,0.0014760509593825261,0.0006010704706305126
