,agriculture,beverages,energy,food,minerals,nonenergy,metals,materials
flt1_5_buy,0.0011555271773631,0.0062376797982298,0.0042582502454819,0.0028414953472627,0.0061880041326597,0.0009324644556545,0.0043940987915762,0.0015137453419775
flt1_5_sell,0.0007010483610559,0.0087178580792076,0.0052429959615037,0.0019596715655107,0.0058711240287571,0.0010994721886771,0.0047754041724811,0.0010792111123786
flt3_10_buy,0.0168137014450168,0.0232469905410706,0.0199932774358595,0.0181714849170095,0.0281114894523357,0.013756842378214,0.0172094375685061,0.0093953665139265
flt3_10_sell,0.0013678725144744,0.0394073833628865,0.0129944136106463,0.0163340663973107,0.0319770578868741,0.0027784370823679,0.0138529746352065,0.0034584919742763
flt3_5_buy,0.0199983997775123,0.0218404528617921,0.020790783253103,0.0208556350865672,0.0369203702261578,0.0290647838779812,0.0127442991051349,0.0191549519099843
flt3_5_sell,0.0282398726943374,0.0277997458519876,0.017021454052373,0.0183188807142507,0.0271798124815531,0.0172886360151492,0.0355497541573857,0.028524018403889
flt6_10_buy,0.0196550105099213,0.0185850130397887,0.0157376282307364,0.0176899005556595,0.0140635998720507,0.0194758485782164,0.0163936226194345,0.0204043373168934
flt6_10_sell,0.018256874655729,0.0332530140072511,0.0150385715055782,0.0156614637924522,0.0228411151185191,0.0160709819126926,0.0262718303358156,0.021918407814886
flt6_5_buy,0.0160817140327411,0.0126190140404482,0.0142688533396043,0.0119334151113696,0.0130886140792158,0.0188796151410518,0.0093377786517356,0.035953545368292
flt6_5_sell,0.0236250526122922,0.0126476973422061,0.0157546471233235,0.0283156642357871,0.017615087849645,0.0216780955552916,0.0204820926390593,0.0168869713681644
flt9_10_buy,0.0170039409544393,0.0095012776748286,0.0131779537626816,0.0159902436852791,0.0179895583519522,0.0168341400475241,0.0108036581352476,0.0204251061312565
flt9_10_sell,0.0169489903466231,0.0209890394985447,0.0165532028738939,0.0227314851566945,0.0175908227451909,0.0165071919787078,0.02485992730811,0.016648511140746
flt9_5_buy,0.0126491035960963,0.0086929488711882,0.0116844231974414,0.0105294282504404,0.0120785695973923,0.0148266713158717,0.0106907207022662,0.0146431470825239
flt9_5_sell,0.0154889724887867,0.0097477410900835,0.0163309640249098,0.0186612456638161,0.012049590445542,0.0203481169570103,0.0193601835711018,0.0160474121543048
mom1,0.0099435103035903,0.0082438866191264,0.0083685191612856,0.0099804909940345,0.0077705299489454,0.0102255107826215,0.0092310612158956,0.010706686832593
mom12,0.0132967160941002,0.0198359864266424,0.0163236142727726,0.0158553721539636,0.0139707283530454,0.0123072312157574,0.0145891084377803,0.0116875005923975
mom3,0.0147427673965902,0.0151610478893333,0.0138171681653967,0.0118231598300397,0.0111592800627616,0.0152923550239255,0.0183315851857771,0.0130709493086594
mom6,0.0135804413663092,0.0089917387801136,0.0110108063166226,0.0116726598767561,0.0085102407613531,0.0119432517817988,0.0140723698436637,0.0098562179437029
mom9,0.0122546818214237,0.0155778413400068,0.0136712262203092,0.0123343240780969,0.0092162430735811,0.0114059274338274,0.0089714328717041,0.0152150161895448
mva1_12,0.0099973620516724,0.0080503477878159,0.0085074825543721,0.0074413695626793,0.0128271325082326,0.0090662654947472,0.0069289614051646,0.0078902734243377
mva1_3,0.0374294585061585,0.0274145019326653,0.0269775044448209,0.0338243175571649,0.0200959756508338,0.0309322948659965,0.0278926211197714,0.0316970280157024
mva1_6,0.0156356802095365,0.0095558407005178,0.0145182201226233,0.0146936648160042,0.0204216993748125,0.0160146763513879,0.0161576777046032,0.0133567659726689
mva1_9,0.0104639012901469,0.0076893033346984,0.011781708449634,0.0123629724503549,0.011965073410053,0.0110420501879493,0.0084173716754464,0.0083589120599432
mva3_12,0.0115138573889536,0.0085175503156854,0.0098942568336529,0.0104849064655625,0.0074210976937235,0.010056772695169,0.0082985605767864,0.0107746091578475
mva3_6,0.0176008089533021,0.0128321750752519,0.0219934036655553,0.0189410558000827,0.0129250980921739,0.0224771005310017,0.025378136978784,0.0162461930934832
mva3_9,0.0191029097682317,0.009015832874904,0.0109637504201812,0.0107308288864919,0.0077186098676903,0.0104633344107323,0.009728420385156,0.009161778375639
mva6_12,0.024121913711596,0.0121973664808511,0.0190378897292317,0.0190714736799057,0.0121517373578585,0.0202908515702575,0.0125712222850852,0.0227240793319749
mva6_9,0.0297299489399783,0.0160287112214546,0.0217633844533389,0.0235289431585966,0.0205262092615609,0.0175044529204868,0.0184235419566392,0.0164531375782043
mva9_12,0.030028502115224,0.0233578737862704,0.0323802761974185,0.0222168572883071,0.0432567407701335,0.0269961761958026,0.0321364662329106,0.0273494326408488
osc12_10_buy,0.0121901481907467,0.0105585804406711,0.0131458295280496,0.0143189573849219,0.0122954859444565,0.0135278699925468,0.0101338029806763,0.0137488208747602
osc12_10_sell,0.013061880208367,0.0109244125388961,0.0129995381579202,0.0144675041648481,0.0120305147837951,0.0134038399595159,0.0112646195579024,0.0137260438333144
osc12_5_buy,0.010156253458524,0.009945969805706,0.0109367416338964,0.0120140192197227,0.0094508430611559,0.0099172049648464,0.0116192817640443,0.0167233889296546
osc12_5_sell,0.0100805997963513,0.0098588937391938,0.0106866029033391,0.0115458786952801,0.0095308709637443,0.009775675735993,0.010985201181481,0.0160752395022832
osc1_10_buy,0.011142810701901,0.008509289865466,0.0095537464089352,0.0110187454128606,0.0075454155640013,0.011736214221319,0.0092706973394339,0.0125070471419287
osc1_10_sell,0.0108364441140834,0.0082455469532429,0.0094142637547666,0.010262481649661,0.0076250530638756,0.0115252727626537,0.0093678606163273,0.0119210908700092
osc1_5_buy,0.0089407225458185,0.0077031780517406,0.0081960536257403,0.0090217028550842,0.0076090030113254,0.0098762504608312,0.0091628351096877,0.0103747588132757
osc1_5_sell,0.0103007461136451,0.007891498838966,0.0093482176294978,0.0102175180872244,0.0076368877888532,0.0114115471718168,0.0091584547380466,0.0113536123463209
osc3_10_buy,0.0124643299482885,0.0091178945982287,0.0119170393243707,0.0135467129013075,0.0107914822698753,0.0141942695169997,0.0095129567927764,0.0102857731083587
osc3_10_sell,0.0122166757528689,0.0091951930282828,0.0121153056121546,0.0137714012545518,0.0099629717989208,0.0146558971087121,0.0094601096096922,0.0101732411908657
osc3_5_buy,0.0126408795114252,0.0081436295696226,0.0102738969779855,0.009745457837434,0.0096126214043949,0.0107161873418591,0.0114413600750277,0.0098068597448429
osc3_5_sell,0.0132176832326813,0.0082733228534843,0.0101867232714847,0.0095381217294868,0.0099685222114306,0.0108345576985281,0.0114014024324028,0.0104669502446682
osc6_10_buy,0.009465143594603,0.0134284682230836,0.0093368710556102,0.0099434681521809,0.0077009771979464,0.0095176101937617,0.013312045264405,0.0093361854946458
osc6_10_sell,0.0093779931727616,0.0137326265692118,0.0094206791456405,0.0099142370194064,0.0077616709339028,0.0096606159612441,0.0131391335184805,0.0090159018513125
osc6_5_buy,0.0096231733224029,0.0075287314352723,0.008842008759683,0.0094760266815903,0.0063358635262545,0.010101148615009,0.0128791716718882,0.0076955863086978
osc6_5_sell,0.0096074039433331,0.008232413009845,0.0092244015045012,0.0093711233119279,0.0072387522611811,0.010775284464391,0.0127743469048153,0.0077989082845949
osc9_10_buy,0.0105726399332893,0.009040966456574,0.0102524945450751,0.008757617417447,0.0099341503220139,0.0079807521485542,0.0079744217909768,0.0098664393562246
osc9_10_sell,0.0104850311269539,0.008963549869951,0.0103338764160633,0.0088152992114402,0.010031851995399,0.0081548649238098,0.0082497810656333,0.0098162743751228
osc9_5_buy,0.0093100238421762,0.0100065692350121,0.0091796882621982,0.0083751840090205,0.0071865241153637,0.0101281785138001,0.0071393876474866,0.0087503455415419
osc9_5_sell,0.0091843294308608,0.0104704554904914,0.0090298597741343,0.0086764793879687,0.007220877122653,0.0099399910560834,0.0071702769828966,0.0090685417815881
