,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2000M08,58.85416666666667,58.85416666666667,66.66666666666667,59.375,55.20833333333333,57.8125
2000M09,58.85416666666667,58.85416666666667,65.625,58.33333333333333,54.166666666666664,58.33333333333333
2000M10,60.9375,61.458333333333336,65.10416666666667,58.33333333333333,56.25,57.291666666666664
2000M11,59.375,59.89583333333333,63.020833333333336,57.8125,54.6875,57.291666666666664
2000M12,59.89583333333333,60.9375,60.9375,57.291666666666664,53.645833333333336,57.29166666666667
2001M01,58.85416666666666,59.89583333333333,60.41666666666667,55.729166666666664,52.60416666666667,55.72916666666666
2001M02,57.81249999999999,58.85416666666666,59.89583333333333,53.64583333333333,51.041666666666664,54.166666666666664
2001M03,58.33333333333333,59.375,59.375,52.60416666666667,50.52083333333333,53.64583333333333
2001M04,56.24999999999999,57.291666666666664,58.854166666666664,51.5625,49.479166666666664,53.125
2001M05,56.77083333333333,57.291666666666664,57.8125,51.04166666666667,48.4375,53.64583333333333
2001M06,56.25,56.77083333333333,58.33333333333333,51.5625,49.47916666666667,54.166666666666664
2001M07,55.20833333333333,55.208333333333336,57.81249999999999,50.520833333333336,50.0,54.166666666666664
2001M08,55.72916666666667,55.72916666666667,57.8125,50.0,49.99999999999999,54.166666666666664
2001M09,58.33333333333333,58.85416666666667,58.33333333333333,53.645833333333336,51.5625,55.729166666666664
2001M10,57.29166666666667,57.29166666666666,56.24999999999999,53.125,48.43749999999999,54.6875
2001M11,55.20833333333333,55.20833333333333,55.208333333333336,51.5625,48.4375,53.125
2001M12,54.166666666666664,54.166666666666664,54.6875,51.5625,50.52083333333333,53.64583333333333
2002M01,52.08333333333333,53.125,54.166666666666664,52.604166666666664,51.041666666666664,55.20833333333333
2002M02,52.60416666666667,54.16666666666667,55.20833333333333,53.64583333333333,52.604166666666664,55.20833333333333
2002M03,53.125,54.6875,54.6875,53.64583333333333,54.16666666666667,54.16666666666667
2002M04,53.125,55.729166666666664,53.64583333333333,54.166666666666664,54.166666666666664,55.20833333333333
2002M05,55.20833333333333,56.77083333333333,54.166666666666664,54.6875,54.166666666666664,55.72916666666667
2002M06,55.729166666666664,57.29166666666667,55.20833333333333,55.72916666666667,56.25,54.166666666666664
2002M07,56.77083333333333,58.33333333333333,56.25,54.6875,56.25,53.125
2002M08,57.29166666666666,58.854166666666664,56.25,54.6875,56.25,53.125
2002M09,57.8125,59.89583333333333,56.77083333333333,54.166666666666664,55.729166666666664,53.125
2002M10,54.16666666666667,55.72916666666667,56.77083333333333,53.125,53.125,52.08333333333333
2002M11,55.72916666666667,56.77083333333333,56.25,53.64583333333333,53.125,52.08333333333333
2002M12,56.25,56.25,58.33333333333333,53.645833333333336,53.125,50.52083333333333
2003M01,56.77083333333333,56.25,57.29166666666666,54.16666666666666,53.125,49.47916666666666
2003M02,54.6875,54.6875,57.291666666666664,54.166666666666664,51.5625,49.479166666666664
2003M03,52.08333333333333,52.08333333333333,57.29166666666667,52.60416666666667,51.041666666666664,48.95833333333333
2003M04,54.16666666666667,52.604166666666664,57.8125,53.645833333333336,51.5625,48.4375
2003M05,53.125,52.604166666666664,58.33333333333333,53.125,50.520833333333336,47.916666666666664
2003M06,53.125,52.604166666666664,57.29166666666667,51.041666666666664,49.47916666666667,46.875
2003M07,54.166666666666664,54.166666666666664,57.81249999999999,50.52083333333333,48.95833333333333,47.395833333333336
2003M08,53.645833333333336,54.16666666666667,57.29166666666667,50.0,46.354166666666664,46.875
2003M09,53.125,53.125,55.729166666666664,47.916666666666664,45.3125,45.31249999999999
2003M10,55.208333333333336,54.6875,56.77083333333333,48.95833333333333,47.39583333333333,45.3125
2003M11,55.208333333333336,54.166666666666664,56.25,49.479166666666664,46.354166666666664,45.3125
2003M12,58.33333333333333,57.8125,56.77083333333333,47.916666666666664,45.3125,45.3125
2004M01,59.895833333333336,58.333333333333336,56.25,46.875,45.83333333333333,44.270833333333336
2004M02,60.41666666666667,58.333333333333336,55.20833333333334,45.83333333333333,45.3125,44.27083333333333
2004M03,59.89583333333333,58.333333333333336,55.208333333333336,46.875,45.3125,44.791666666666664
2004M04,59.375,57.8125,54.6875,46.875,45.833333333333336,44.27083333333333
2004M05,57.291666666666664,55.72916666666667,54.16666666666667,46.354166666666664,45.83333333333333,43.75
2004M06,56.77083333333333,54.6875,53.64583333333333,45.3125,46.35416666666667,45.83333333333333
2004M07,55.729166666666664,53.64583333333333,52.604166666666664,46.875,45.3125,45.3125
2004M08,54.6875,52.60416666666666,53.125,46.354166666666664,45.3125,45.83333333333333
2004M09,55.729166666666664,53.125,54.16666666666667,47.39583333333333,45.3125,46.354166666666664
2004M10,57.81249999999999,55.20833333333333,54.68750000000001,47.91666666666667,45.3125,46.875
2004M11,57.291666666666664,54.6875,55.72916666666667,47.39583333333333,48.4375,47.916666666666664
2004M12,54.6875,52.604166666666664,54.6875,47.39583333333333,48.95833333333333,48.95833333333333
2005M01,55.729166666666664,53.125,56.25,48.4375,50.0,51.041666666666664
2005M02,59.375,56.25,58.33333333333334,51.5625,51.5625,52.08333333333333
2005M03,58.333333333333336,55.20833333333333,56.25,51.5625,50.0,51.041666666666664
2005M04,56.24999999999999,54.6875,56.25,50.52083333333333,50.0,50.52083333333333
2005M05,56.25,54.166666666666664,56.770833333333336,50.52083333333333,51.5625,50.0
2005M06,55.20833333333333,53.12499999999999,57.29166666666667,51.041666666666664,52.60416666666667,50.0
2005M07,56.24999999999999,53.64583333333333,55.729166666666664,53.125,52.08333333333333,48.95833333333333
