,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2002M05,66.66666666666666,66.66666666666666,79.16666666666666,70.83333333333334,70.83333333333334,70.83333333333334
2002M06,70.83333333333334,70.83333333333334,79.16666666666666,70.83333333333334,70.83333333333334,66.66666666666666
2002M07,75.0,75.0,83.33333333333334,75.0,70.83333333333334,66.66666666666666
2002M08,79.16666666666666,79.16666666666666,83.33333333333334,75.0,70.83333333333334,70.83333333333334
2002M09,75.0,75.0,79.16666666666666,70.83333333333334,66.66666666666666,66.66666666666666
2002M10,70.83333333333334,70.83333333333334,79.16666666666666,70.83333333333334,70.83333333333334,62.5
2002M11,70.83333333333334,70.83333333333334,79.16666666666666,70.83333333333334,66.66666666666666,62.5
2002M12,70.83333333333334,70.83333333333334,79.16666666666666,70.83333333333334,66.66666666666666,58.333333333333336
2003M01,70.83333333333334,70.83333333333334,75.0,66.66666666666666,62.5,54.166666666666664
2003M02,70.83333333333334,70.83333333333334,75.0,66.66666666666666,62.5,50.0
2003M03,66.66666666666666,66.66666666666666,70.83333333333334,62.5,62.5,50.0
2003M04,62.5,62.5,70.83333333333334,62.5,62.5,50.0
2003M05,62.5,62.5,66.66666666666666,58.333333333333336,58.333333333333336,45.83333333333333
2003M06,62.5,62.5,62.5,54.166666666666664,58.333333333333336,41.66666666666667
2003M07,66.66666666666666,66.66666666666666,66.66666666666666,54.166666666666664,58.333333333333336,45.83333333333333
2003M08,70.83333333333334,70.83333333333334,66.66666666666666,50.0,54.166666666666664,45.83333333333333
2003M09,70.83333333333334,70.83333333333334,70.83333333333334,50.0,58.333333333333336,50.0
2003M10,70.83333333333334,70.83333333333334,70.83333333333334,50.0,58.333333333333336,50.0
2003M11,70.83333333333334,70.83333333333334,66.66666666666666,50.0,54.166666666666664,50.0
2003M12,75.0,75.0,62.5,45.83333333333333,50.0,50.0
2004M01,79.16666666666666,79.16666666666666,62.5,45.83333333333333,50.0,45.83333333333333
2004M02,75.0,75.0,58.333333333333336,41.66666666666667,45.83333333333333,45.83333333333333
2004M03,75.0,75.0,58.333333333333336,41.66666666666667,45.83333333333333,45.83333333333333
2004M04,75.0,75.0,58.333333333333336,41.66666666666667,45.83333333333333,45.83333333333333
2004M05,75.0,75.0,54.166666666666664,37.5,41.66666666666667,41.66666666666667
2004M06,70.83333333333334,70.83333333333334,54.166666666666664,33.33333333333333,45.83333333333333,45.83333333333333
2004M07,66.66666666666666,66.66666666666666,54.166666666666664,33.33333333333333,50.0,45.83333333333333
2004M08,62.5,62.5,54.166666666666664,33.33333333333333,50.0,45.83333333333333
2004M09,66.66666666666666,66.66666666666666,58.333333333333336,37.5,54.166666666666664,50.0
2004M10,66.66666666666666,66.66666666666666,62.5,41.66666666666667,50.0,50.0
2004M11,66.66666666666666,62.5,62.5,41.66666666666667,54.166666666666664,45.83333333333333
2004M12,62.5,58.333333333333336,62.5,41.66666666666667,54.166666666666664,50.0
2005M01,62.5,58.333333333333336,66.66666666666666,45.83333333333333,58.333333333333336,54.166666666666664
2005M02,62.5,58.333333333333336,66.66666666666666,50.0,62.5,54.166666666666664
2005M03,62.5,58.333333333333336,66.66666666666666,50.0,58.333333333333336,54.166666666666664
2005M04,66.66666666666666,62.5,66.66666666666666,50.0,58.333333333333336,54.166666666666664
2005M05,66.66666666666666,62.5,70.83333333333334,54.166666666666664,62.5,58.333333333333336
2005M06,66.66666666666666,62.5,75.0,58.333333333333336,62.5,58.333333333333336
2005M07,62.5,58.333333333333336,70.83333333333334,58.333333333333336,62.5,58.333333333333336
2005M08,62.5,58.333333333333336,70.83333333333334,62.5,66.66666666666666,62.5
2005M09,62.5,58.333333333333336,66.66666666666666,66.66666666666666,66.66666666666666,58.333333333333336
2005M10,58.333333333333336,54.166666666666664,62.5,62.5,62.5,58.333333333333336
2005M11,62.5,58.333333333333336,66.66666666666666,62.5,66.66666666666666,62.5
2005M12,62.5,58.333333333333336,66.66666666666666,66.66666666666666,70.83333333333334,62.5
2006M01,62.5,58.333333333333336,66.66666666666666,66.66666666666666,70.83333333333334,66.66666666666666
2006M02,62.5,58.333333333333336,70.83333333333334,66.66666666666666,75.0,62.5
2006M03,62.5,58.333333333333336,70.83333333333334,66.66666666666666,75.0,62.5
2006M04,62.5,58.333333333333336,70.83333333333334,66.66666666666666,75.0,62.5
2006M05,62.5,58.333333333333336,75.0,70.83333333333334,75.0,66.66666666666666
2006M06,62.5,58.333333333333336,75.0,70.83333333333334,75.0,66.66666666666666
2006M07,66.66666666666666,62.5,70.83333333333334,70.83333333333334,70.83333333333334,70.83333333333334
2006M08,66.66666666666666,62.5,66.66666666666666,70.83333333333334,75.0,66.66666666666666
2006M09,62.5,58.333333333333336,66.66666666666666,70.83333333333334,75.0,66.66666666666666
2006M10,62.5,58.333333333333336,66.66666666666666,66.66666666666666,75.0,66.66666666666666
2006M11,62.5,62.5,70.83333333333334,66.66666666666666,70.83333333333334,70.83333333333334
2006M12,66.66666666666666,66.66666666666666,66.66666666666666,62.5,70.83333333333334,66.66666666666666
2007M01,66.66666666666666,66.66666666666666,66.66666666666666,62.5,70.83333333333334,62.5
2007M02,66.66666666666666,66.66666666666666,62.5,58.333333333333336,70.83333333333334,66.66666666666666
2007M03,70.83333333333334,70.83333333333334,62.5,62.5,75.0,62.5
2007M04,66.66666666666666,66.66666666666666,62.5,58.333333333333336,70.83333333333334,62.5
2007M05,62.5,62.5,58.333333333333336,54.166666666666664,66.66666666666666,58.333333333333336
2007M06,62.5,62.5,58.333333333333336,54.166666666666664,66.66666666666666,62.5
2007M07,62.5,62.5,58.333333333333336,58.333333333333336,66.66666666666666,62.5
2007M08,62.5,62.5,54.166666666666664,58.333333333333336,66.66666666666666,62.5
2007M09,62.5,62.5,54.166666666666664,58.333333333333336,62.5,66.66666666666666
2007M10,66.66666666666666,66.66666666666666,54.166666666666664,62.5,62.5,66.66666666666666
2007M11,62.5,62.5,50.0,66.66666666666666,58.333333333333336,66.66666666666666
2007M12,62.5,62.5,50.0,62.5,58.333333333333336,66.66666666666666
2008M01,62.5,62.5,50.0,62.5,58.333333333333336,66.66666666666666
2008M02,66.66666666666666,66.66666666666666,50.0,66.66666666666666,58.333333333333336,70.83333333333334
2008M03,66.66666666666666,66.66666666666666,50.0,66.66666666666666,54.166666666666664,70.83333333333334
2008M04,66.66666666666666,66.66666666666666,45.83333333333333,66.66666666666666,50.0,66.66666666666666
2008M05,66.66666666666666,66.66666666666666,45.83333333333333,66.66666666666666,54.166666666666664,66.66666666666666
2008M06,70.83333333333334,70.83333333333334,41.66666666666667,66.66666666666666,50.0,66.66666666666666
2008M07,66.66666666666666,66.66666666666666,41.66666666666667,62.5,50.0,66.66666666666666
2008M08,66.66666666666666,66.66666666666666,45.83333333333333,66.66666666666666,50.0,70.83333333333334
