,flt12_10_buy.csv,flt12_10_sell.csv,flt12_5_buy.csv,flt12_5_sell.csv,flt1_10_buy.csv,flt1_10_sell.csv,flt1_5_buy.csv,flt1_5_sell.csv,flt3_10_buy.csv,flt3_10_sell.csv,flt3_5_buy.csv,flt3_5_sell.csv,flt6_10_buy.csv,flt6_10_sell.csv,flt6_5_buy.csv,flt6_5_sell.csv,flt9_10_buy.csv,flt9_10_sell.csv,flt9_5_buy.csv,flt9_5_sell.csv,average
1993M08,-0.0013537125186031456,-0.0021701065022307854,-0.002453135498496114,0.00020513745433788197,-0.0006092893654067585,-0.000442819424083276,-0.002265431478140365,0.0003260058326872721,-0.0004313167551063461,6.27327919844603e-05,-0.0024349291553175416,0.0014814034122662217,0.004574663131671196,-0.0009707146640174683,0.004686721984285734,0.002261821770253734,0.00806715758287782,-0.0008962950747526627,0.0013511800082167433,0.004608984548280931,0.0006799029040353766
1993M09,-0.004219973067789457,-0.005042180466573913,-0.003831180158869507,-0.004932444641915199,-0.0011680969260998856,-0.0009946332702171165,-0.002870589089877101,-0.00037349030780220796,-0.0010568016362995079,0.003399463757206179,-0.003137376975923002,-0.0023890089157487557,-0.001440914077444481,0.0026576962923149203,0.0028221586242259513,-0.002625768295322091,-0.004688317435019266,-0.002891000583679944,-0.00021699718579350734,-0.005440168330355516,-0.0019219811345491705
1993M10,-0.0034130400180387684,-0.0031884314466204392,-0.003295231561335393,-0.004598639211360884,-0.0009734440295512027,-0.0008040881798653675,-0.002641239637435715,-0.00029038041390600563,-0.0008405467127931246,-0.0005416850903377016,-0.002868353917981141,-0.0017183003054140865,-0.0011927742813190843,-0.001667151933496609,0.0033287014761292687,-0.0022237999996221804,0.005456011955341461,-0.0017950084172048699,0.00028954364008180675,-0.005063005213832944,-0.001402043164928149
1993M11,-0.002553812092018068,-0.002756009190574585,-0.0027193474739524407,-0.004236254239315963,-0.000757621696652095,-0.0005926209231654229,-0.00238904750018236,-5.918062633638259e-05,-0.0006010472049445994,-0.0003121606591070295,0.009249083454157744,0.0006796231423646397,-0.000918967174596439,-0.0013889524411056504,0.0038853612932092238,-0.0017866258104171889,0.0061506295701713315,-0.0014358012545628244,0.0008403053970356396,-0.004655183281411485,-0.0003178814355701977
1993M12,-0.0015596881476751243,-0.0022427807178233916,-0.002041807379899466,-0.0017868267549416826,-0.0004949901675304492,-0.0003349553208907523,-0.002085725360721098,0.0002230760010184156,-0.00030979561959534836,-3.235704924781069e-05,0.01003616873715338,0.0010357393758764855,-0.0005873904317743282,-0.0010530639068476782,0.004566612086683222,0.001065647550737735,0.007005696282607875,-0.0010045224422383925,0.0015015090969582958,0.003007014807349594,0.000745378031959974
1994M01,-0.0011774638265302428,-0.0020349161698927317,-0.0017718272438139466,-0.0013987783669437888,-0.0003946854534398225,-0.00023722663733456291,-0.0019622630748195257,0.0003272346071768094,-0.0001996596841391289,7.21696493945616e-05,0.010133547903030502,0.001161365100377499,0.0016093236638950043,-0.0009221536860856459,0.004753430135412863,0.0012517295632564983,0.007186878113875521,-0.0008376435722475279,0.0017250100645057886,0.003209760798910891,0.0010246915942294507
1994M02,-0.0013205425075966289,-0.002098938471199219,-0.0018602545511479432,-0.0015363241844998385,-0.0004414906736969872,-0.00028448468295052935,-0.0020014563128700497,0.0002703224364967885,-0.0002532672952195012,1.811708568463627e-05,-0.002573573284370686,0.0010799309976546384,-0.00046071360624023246,-0.0009760136625099694,0.0045106376103170465,0.0011300528373991577,-0.004387323884079955,-0.0009073328538215315,0.0015652763398078,0.0030153305706782686,-0.0003756024046082367
1994M03,-0.0010213501249796333,-0.001929519203005714,-0.0016431935387606878,-0.0012318688341534825,-0.0003601489890298616,-0.0002053943318051011,-0.001899505120015163,0.0003537288641780689,-0.0001643814819264859,0.00010218037871552717,-0.0024472189062017978,0.0011785951394750955,0.001305397423427846,-0.0008695640299902344,0.004641978581120806,0.0012744100777271098,0.006795558969901601,-0.0007726319670769629,0.0017358412278058485,0.0031649723557541556,0.0004003943245580466
1994M04,-0.001407757053088341,-0.0021259412786793098,-0.0019033143315404242,-0.0016132634120437851,-0.00047993829482075566,-0.00032459046309000003,-0.002019434307402119,0.0002172624303042402,-0.0002989173844746682,-3.0282380706315437e-05,-0.002584285778417944,0.0009961294340788502,-0.00035794731087139845,-0.0010145275439332013,0.0042041301873874705,0.0010059339736217111,-0.004233987193442152,-0.0009577758899811043,0.001396800471853146,0.0027869091435078672,-0.0004372398490869115
1994M05,-0.0011205630769049626,-0.001960529567268215,-0.0016927422290103108,-0.0013212902182102835,-0.00039950503976711026,-0.00024635314096578195,-0.0019189612978656977,0.0002997572110157241,-0.00021110096801160542,5.2837818562649747e-05,-0.0024601952307003747,0.001093633889850595,-0.00025705863914221637,-0.0009096493731724117,-0.00256264415695183,0.0011478718300384962,0.006145667075970595,-0.0008255607809502376,0.0015642528130977709,0.002935175957676764,-0.00013234785613542216
