,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1992M09,-0.00533236666974979,-0.0053323666697497945,0.011939410559299167,0.011939410559299157,-0.0081532019973868,-0.0081532019973868,-0.0081532019973868,-0.0081532019973868,-0.005981504729632787,-0.0059815047296327886,0.01228201981745443,0.012282019817454422,0.013079628420976529,0.013079628420976515,0.014176768877003948,0.014176768877003941,0.014216613368344046,0.014216613368344046,0.01004172525179231,0.01004172525179231,0.004811589090071423
1992M10,-0.006253251933923893,-0.006253251933923903,-0.004949545379825344,-0.0049495453798253505,-0.009141941691199067,-0.009141941691199066,-0.009141941691199067,-0.009141941691199066,-0.006987640858355961,-0.00698764085835597,-0.006532387438516448,-0.00653238743851645,-0.004353482358510121,-0.004353482358510116,-0.005617190025557224,-0.005617190025557223,-0.0032617837682179327,-0.003261783768217935,-0.002692599849135559,-0.0026925998491355643,-0.0058931764994440625
1992M11,-0.006632494720134009,-0.006632494720134016,-0.005373857468643186,-0.005373857468643185,-0.009523320544062196,-0.009523320544062193,-0.009523320544062196,-0.009523320544062193,-0.007394714232668079,-0.007394714232668085,-0.00695840708399967,-0.006958407083999674,-0.004768647511582843,-0.004768647511582847,-0.00602633604861743,-0.006026336048617434,-0.0036696545363932437,-0.0036696545363932524,-0.0031688219643819845,-0.003168821964381988,-0.006303957465454486
1992M12,-0.006206462270279949,-0.006206462270279953,-0.00493572050493107,-0.0049357205049310755,0.013163873730114498,0.013163873730114505,0.013163873730114498,0.013163873730114505,-0.006915189687649554,-0.0069151896876495575,-0.0064711951574904225,-0.00647119515749042,-0.0043561054925133486,-0.004356105492513359,-0.005585262898381172,-0.005585262898381182,-0.0032919120243043564,-0.0032919120243043564,-0.002743592603758638,-0.0027435926037586364,-0.0014177693179079523
1993M01,-0.00619409760910513,-0.006194097609105132,-0.004939916370598384,-0.0049399163705983835,-0.009005997001124645,-0.009005997001124647,-0.009005997001124645,-0.009005997001124647,-0.006891623899072018,-0.006891623899072019,-0.006453381005912945,-0.00645338100591295,-0.004367762245225594,-0.004367762245225603,-0.005580624463249605,-0.005580624463249604,-0.003316288357733623,-0.003316288357733607,-0.002779284405114152,-0.002779284405114148,-0.005853497235826072
1993M02,-0.006207773222457153,-0.006207773222457172,-0.004971464406994561,-0.004971464406994568,-0.008981260916307373,-0.008981260916307375,-0.008981260916307373,-0.008981260916307375,0.011964568339573135,0.011964568339573135,0.01081285403270421,0.01081285403270421,-0.004405511710403397,-0.004405511710403399,-0.005603209084591811,-0.005603209084591811,-0.0033651548108963435,-0.003365154810896351,-0.0028425968932662762,-0.002842596893266283,-0.0022580809588946967
1993M03,-0.006534828006651701,-0.006534828006651701,-0.005336806961008234,-0.005336806961008227,-0.009310710142246999,-0.009310710142246995,-0.009310710142246999,-0.009310710142246995,-0.0068969412208059605,-0.00689694122080595,-0.0064651108638844185,-0.006465110863884413,-0.004764058431526689,-0.004764058431526686,-0.005955432069768507,-0.0059554320697685,-0.003718898727324678,-0.0037188987273246866,-0.003252729658054527,-0.0032527296580545286,-0.006154622622351869
1993M04,-0.007027529818187451,-0.0070275298181874495,-0.005877686800219276,-0.005877686800219279,-0.009826445761674773,-0.009826445761674778,-0.009826445761674773,-0.009826445761674778,-0.007438677296425701,-0.00743867729642571,-0.007028189228351498,-0.007028189228351506,-0.005291648511394045,-0.005291648511394041,-0.006481253403161739,-0.006481253403161737,-0.004233655064839421,-0.0042336550648394275,-0.0038443864400133313,-0.0038443864400133404,-0.006687591808594203
1993M05,-0.007226585421315745,-0.00722658542131575,-0.006104601118069772,-0.00610460111806978,-0.010011701152264277,-0.010011701152264272,-0.010011701152264277,-0.010011701152264272,-0.007653696377213311,-0.007653696377213312,-0.007254882284550903,-0.007254882284550896,-0.00551737902093547,-0.005517379020935469,-0.006697520529720042,-0.006697520529720025,-0.004461231662575947,-0.004461231662575952,-0.004107977018860565,-0.004107977018860561,-0.0069047275737770305
1993M06,-0.0069244386892416895,-0.006924438689241694,-0.005797470419878745,-0.005797470419878743,0.012862137788659442,0.012862137788659437,0.012862137788659442,0.012862137788659437,-0.007313625847639378,-0.007313625847639381,-0.006910957960915516,-0.00691095796091552,-0.005228873189308713,-0.005228873189308713,-0.006386772252877603,-0.0063867722528775945,-0.004198727839006447,-0.004198727839006454,-0.0038151827473979997,-0.0038151827473980027,-0.0020851773368947214
